學校類型,學校代碼,學校名稱,縣市別,"學生宿舍床位數
(床)","自有宿舍床位數
(床)","教職員宿舍單身床位
(床)","教職員宿舍有眷戶數
(戶)",可使用校地-校舍基地(平方公尺),"可使用校地-露天運動場地
(平方公尺)","可使用校地-其他校地
(平方公尺)","無法使用校地
(平方公尺)"
私立大學,1051,台南應用科技大學,臺南市,1632,1316,7,0,32582,31621,80162,0
私立大學,1052,遠東科技大學,臺南市,2017,2017,0,0,26064,16620,77952,0
私立大學,1053,元培醫事科技大學,新竹市,1319,544,0,0,44606,14219,22503,44696
私立大學,1054,景文科技大學,新北市,1091,1091,0,0,14494,25243,76454,0
私立大學,1055,中華醫事科技大學,臺南市,2252,2207,9,0,20967,11325,59709,0
私立大學,1056,東南科技大學,新北市,771,771,5,0,14535,10446,84270,0
私立大學,1057,德明財經科技大學,臺北市,750,608,2,0,37840,11855,11137,0
私立大學,1058,明道大學,彰化縣,2086,918,6,18,22757,59316,329205,0
私立大學,1060,南開科技大學,南投縣,880,880,0,0,15832,15135,61063,0
私立大學,1061,中華科技大學,臺北市,506,502,0,0,21529,5600,27018,0
私立大學,1061,中華科技大學,新竹縣,355,305,10,0,16066,4423,1000,66281
私立大學,1061,中華科技大學,雲林縣,70,0,6,0,2935,3124,284516,5453
私立大學,1062,僑光科技大學,臺中市,873,873,0,0,14966,7959,34337,0
私立大學,1063,育達科技大學,新北市,0,0,0,0,79034,0,0,0
私立大學,1063,育達科技大學,苗栗縣,1677,1172,76,23,47627,21428,50596,0
私立大學,1064,美和科技大學,屏東縣,860,860,0,0,15248,4951,30375,0
私立大學,1065,吳鳳科技大學,嘉義縣,1288,1288,4,1,25889,28320,78647,0
私立大學,1066,環球科技大學,雲林縣,1012,1012,8,16,21526,34351,242586,0
私立大學,1067,台灣首府大學,臺南市,1788,1788,22,0,15360,10200,83702,56025
私立大學,1068,中州科技大學,彰化縣,984,966,0,0,13917,4348,41682,0
私立大學,1069,修平科技大學,臺中市,1346,1346,0,0,17433,12372,66658,0
私立大學,1070,長庚科技大學,桃園市,5126,5029,104,0,30826,20886,87334,0
私立大學,1070,長庚科技大學,嘉義縣,2020,2020,0,0,21863,12415,121938,0
私立大學,1071,臺北城市科技大學,臺北市,1340,1318,0,0,27035,9689,50260,0
私立大學,1072,大華科技大學,新竹縣,1167,630,0,0,18451,7113,77672,45674
私立大學,1073,醒吾科技大學,新北市,833,833,0,0,14737,16500,24525,0
私立大學,1074,南榮科技大學,臺南市,780,780,0,1,19133,10254,42757,0
私立大學,1075,文藻外語大學,高雄市,740,740,34,4,20687,28240,7943,0
私立大學,1076,華夏科技大學,新北市,39,15,0,0,10634,1457,47555,0
私立大學,1077,慈濟科技大學,花蓮縣,2363,2363,47,13,16670,16992,176387,0
私立大學,1078,致理科技大學,新北市,594,594,0,0,9785,30265,20206,0
私立大學,1079,康寧大學,臺北市,968,968,0,0,6395,770,14011,52405
私立大學,1079,康寧大學,臺南市,1958,1958,116,0,13562,52162,125963,0
私立大學,1080,宏國德霖科技大學,新北市,434,400,0,0,19089,13206,90149,3216
私立大學,1081,東方設計大學,高雄市,595,595,0,0,15342,22582,52220,0
私立大學,1082,崇右影藝科技大學,新北市,0,0,0,0,0,0,0,202726
私立大學,1082,崇右影藝科技大學,基隆市,353,353,0,0,37095,12100,934,0
私立大學,1083,台北海洋科技大學,新北市,788,788,0,0,10483,1296,29292,0
私立大學,1083,台北海洋科技大學,臺北市,302,302,0,0,8775,6608,18881,0
私立學院,1125,中信金融管理學院,臺南市,818,818,15,0,13624,75000,166307,10326
私立學院,1148,大漢技術學院,花蓮縣,1352,344,12,0,20644,73443,94965,0
私立學院,1159,和春技術學院,高雄市,928,928,10,0,33297,19674,59526,0
私立學院,1166,亞東技術學院,新北市,83,83,4,4,9956,6409,28212,5638
私立學院,1168,南亞技術學院,桃園市,553,553,0,0,13510,14120,22403,0
私立學院,1176,稻江科技暨管理學院,嘉義縣,1260,1260,96,0,18012,47800,285241,0
私立學院,1182,蘭陽技術學院,宜蘭縣,976,738,0,0,18780,14387,44649,4484
私立學院,1183,黎明技術學院,新北市,439,439,0,0,50525,11192,13309,0
私立學院,1185,經國管理暨健康學院,基隆市,777,606,0,0,8712,12000,100963,0
私立學院,1188,大同技術學院,嘉義縣,459,459,0,0,4787,47401,45991,0
私立學院,1188,大同技術學院,嘉義市,396,396,16,0,7432,1980,14897,0
私立學院,1189,亞太創意技術學院,苗栗縣,1482,1482,0,0,13895,24542,6612,83014
私立學院,1192,臺灣觀光學院,花蓮縣,461,461,36,0,8382,24651,107307,0
私立學院,1195,馬偕醫學院,新北市,688,688,9,3,14425,11726,166085,0
私立學院,1196,法鼓文理學院,新北市,496,496,136,9,135451,21956,63563,78143
私立學院,1196,法鼓文理學院,臺北市,0,0,0,0,529,0,0,0
私立專科,1282,馬偕醫護管理專科學校,新北市,1148,1148,3,0,7523,4349,73776,37084
私立專科,1282,馬偕醫護管理專科學校,臺北市,712,712,0,0,5200,814,8530,3
私立專科,1283,仁德醫護管理專科學校,苗栗縣,2679,2679,0,0,16000,7671,37115,0
私立專科,1284,樹人醫護管理專科學校,高雄市,1376,1376,8,2,17703,22834,107558,0
私立專科,1285,慈惠醫護管理專科學校,屏東縣,976,594,6,0,11670,35881,148324,0
私立專科,1286,耕莘健康管理專科學校,新北市,918,0,12,0,4908,3211,11756,0
私立專科,1286,耕莘健康管理專科學校,宜蘭縣,1916,1852,20,0,12778,17645,64195,0
私立專科,1286,耕莘健康管理專科學校,基隆市,0,0,0,0,0,0,53630,0
私立專科,1287,敏惠醫護管理專科學校,臺南市,1118,1118,0,0,29661,3327,77359,12589
私立專科,1288,高美醫護管理專科學校,高雄市,240,240,0,0,11672,9141,18771,0
私立專科,1289,育英醫護管理專科學校,高雄市,240,240,0,0,4523,6359,63609,0
私立專科,1290,崇仁醫護管理專科學校,嘉義縣,720,720,0,0,5868,5720,86412,0
私立專科,1290,崇仁醫護管理專科學校,嘉義市,297,297,0,0,3022,4712,15481,0
私立專科,1291,聖母醫護管理專科學校,宜蘭縣,1088,1016,0,0,8500,3241,30031,0
私立專科,1292,新生醫護管理專科學校,桃園市,1766,1766,0,0,27676,7780,78551,0
市立大學,3002,臺北市立大學,臺北市,1690,1690,0,0,34181,6635,61678,0
宗教研修,1R02,基督教台灣浸會神學院,臺北市,64,64,0,8,13442,0,10658,0
宗教研修,1R03,臺北基督學院,新北市,1070,1070,14,11,7027,3925,26551,0
宗教研修,1R04,一貫道天皇學院,高雄市,0,0,0,0,10525,0,17185,14201
宗教研修,1R05,台灣神學研究學院,臺北市,193,193,9,44,5460,608,59123,0
宗教研修,1R06,一貫道崇德學院,南投縣,0,0,0,0,4100,0,15000,1441
